game_state,next_state,runs_scored,transition_count
2-1-0-0,3-0,0,1141
1-1-1-0,1-1-0-1,1,22
1-1-0-1,2-0-1-0,1,24
0-1-1-0,1-1-1-0,0,125
1-1-0-1,2-1-0-1,0,75
0-0-0-0,0-0-0-0,1,204
0-0-0-1,1-0-0-0,1,18
0-1-1-1,1-1-0-1,1,5
1-0-1-1,1-1-0-1,1,20
1-1-1-1,1-1-0-1,2,17
2-1-1-1,3-1,1,1
1-1-1-0,2-0-1-1,0,43
2-1-0-0,2-0-0-0,2,47
1-1-0-0,1-1-0-1,0,81
2-1-1-0,3-1,1,9
2-1-1-1,2-1-1-0,2,11
0-1-1-1,0-1-1-0,2,10
0-0-0-1,0-1-0-1,0,8
0-0-0-1,1-1-0-0,0,1
1-0-1-0,1-0-1-1,0,1
1-0-0-1,1-1-0-0,1,64
1-1-0-1,1-0-1-0,2,6
0-0-1-1,0-1-1-1,0,6
0-0-1-1,0-0-1-0,2,6
1-0-1-0,3-0,0,8
2-0-1-0,2-0-1-0,1,66
0-0-1-0,0-0-1-0,1,22
0-1-0-1,0-1-1-1,0,11
2-1-0-1,3-2,2,2
2-0-1-1,3-0,0,151
2-1-1-0,2-0-1-1,1,17
1-0-1-0,1-1-1-0,0,89
0-0-1-0,0-1-1-0,0,45
0-1-0-1,0-1-1-0,1,14
0-1-1-0,0-1-1-1,0,63
0-1-1-0,1-1-0-1,0,39
0-1-1-1,1-1-0-0,2,1
1-1-0-1,1-1-0-1,1,15
2-0-1-1,2-0-0-1,2,1
1-1-0-0,1-0-1-0,1,25
2-0-1-0,2-0-0-1,1,8
1-0-1-0,2-1-0-0,0,9
0-1-0-1,0-0-1-0,2,2
0-0-1-1,1-1-0-1,0,1
1-0-1-1,2-1-0-1,0,4
2-1-1-1,2-0-0-0,4,11
0-0-1-0,1-0-0-1,0,108
2-1-1-0,3-0,0,486
0-1-1-1,1-1-1-0,1,6
1-0-1-1,1-0-1-0,2,7
1-1-0-1,2-1-0-0,1,51
1-0-0-1,2-0-1-0,0,6
2-0-1-1,2-1-0-1,1,3
1-1-1-1,1-0-1-1,2,10
1-1-0-0,3-0,0,204
1-1-1-1,2-0-1-1,1,10
1-0-0-1,3-0,0,2
2-1-0-1,2-0-1-0,2,11
0-1-1-0,0-1-0-1,1,14
0-0-1-0,1-1-0-0,0,2
0-0-0-0,0-0-0-1,0,50
2-0-1-1,2-1-1-1,0,44
1-1-0-1,2-0-1-1,0,2
1-0-1-1,2-0-1-1,0,58
1-1-1-1,1-1-1-1,1,22
2-0-1-1,2-0-0-0,3,4
2-0-0-0,3-0,0,2268
2-1-0-0,2-1-0-1,0,109
1-0-0-1,2-0-0-0,1,69
1-1-0-0,2-0-1-0,0,131
0-1-0-0,0-0-1-0,1,19
2-1-0-0,2-0-1-0,1,47
1-1-1-1,2-1-1-1,0,57
0-0-1-0,0-0-0-0,2,10
0-0-1-0,0-0-1-1,0,6
0-1-1-1,0-0-1-1,2,4
1-1-1-1,1-0-0-1,3,2
0-0-1-0,2-0-0-0,0,2
2-1-1-0,2-0-0-1,2,11
2-0-0-0,2-0-0-0,1,102
0-0-0-1,0-1-0-0,1,22
0-1-0-1,0-0-1-1,1,7
1-1-1-1,1-1-1-0,2,12
0-1-1-0,1-0-0-0,2,1
0-0-1-0,1-0-1-0,0,197
1-1-1-0,1-0-1-0,2,9
1-0-1-0,1-1-0-0,1,54
2-1-1-0,2-0-1-0,2,32
0-0-1-1,1-0-1-1,0,38
1-1-1-1,2-1-1-0,1,19
0-1-1-0,0-0-0-0,3,10
1-0-0-1,1-0-0-0,2,7
1-0-1-1,2-1-0-0,1,1
2-1-0-1,2-1-0-0,2,1
2-0-1-0,2-0-0-0,2,34
1-0-0-1,1-0-1-0,1,13
1-0-1-0,1-0-1-0,1,57
1-1-1-0,1-0-1-1,1,28
2-0-0-1,3-1,1,3
0-1-0-1,2-0-0-0,1,12
1-1-1-1,2-0-0-0,3,1
2-0-1-1,3-1,1,1
2-1-1-0,3-2,2,2
0-1-0-0,0-1-0-1,0,71
2-0-1-1,2-0-1-0,2,11
1-0-1-0,2-0-0-0,1,5
1-0-1-1,1-0-0-0,3,4
0-0-1-1,0-0-0-0,3,6
2-1-1-1,2-0-0-1,3,5
2-1-0-1,2-0-0-1,2,2
1-0-0-0,1-0-1-0,0,232
1-0-1-0,2-0-0-1,0,151
1-0-1-1,2-0-1-0,1,18
0-1-1-1,0-0-1-0,3,1
0-1-0-0,1-0-0-1,0,2
1-1-0-1,1-0-0-1,2,1
0-1-0-0,0-0-1-1,0,55
0-0-0-1,0-0-0-0,2,3
1-0-1-0,2-0-1-0,0,337
2-1-0-0,2-0-1-1,0,35
0-1-1-1,1-0-1-1,1,5
0-1-1-1,2-1-0-0,1,1
2-0-1-1,2-1-0-0,2,26
0-0-1-1,0-1-0-1,1,9
0-1-1-0,2-1-0-0,0,4
1-1-1-1,1-0-1-0,3,7
1-1-0-1,1-0-1-1,1,11
2-1-1-1,2-0-1-0,3,11
1-1-1-0,2-0-1-0,1,1
0-1-0-0,2-0-0-0,0,208
2-0-0-1,3-0,0,278
2-1-0-1,2-1-1-1,0,29
2-1-1-0,2-0-0-0,3,25
2-0-1-0,3-1,1,4
0-1-0-1,1-0-1-0,1,10
2-0-0-0,2-0-1-0,0,173
2-0-1-0,2-1-0-0,1,116
0-0-1-0,0-1-0-1,0,56
1-1-1-1,1-0-0-0,4,12
1-1-1-0,2-1-0-1,0,74
1-1-1-0,1-1-1-1,0,100
0-1-0-1,1-1-0-1,0,37
1-1-1-1,2-1-0-1,1,16
1-1-0-1,3-1,1,2
2-1-0-1,3-0,0,272
0-0-0-0,0-0-1-0,0,350
1-0-0-0,1-0-0-1,0,33
1-0-0-1,1-1-0-1,0,45
0-1-1-0,0-1-1-0,1,18
0-1-1-0,0-0-1-1,1,17
1-0-1-1,1-1-1-1,0,35
1-1-1-0,1-0-0-1,2,6
0-1-0-1,1-0-1-1,0,3
1-1-1-1,2-0-1-0,2,2
2-0-1-0,3-0,0,641
2-1-1-0,2-1-1-0,1,31
1-1-0-1,1-1-1-1,0,30
1-1-1-0,1-1-1-0,1,26
0-1-1-1,1-1-1-1,0,31
2-0-1-0,2-1-0-1,0,27
1-1-1-1,3-0,0,22
1-0-1-1,2-1-1-0,0,5
1-1-1-1,3-1,1,2
1-0-0-0,2-0-0-0,0,2802
0-1-0-0,1-1-0-0,0,645
1-1-0-0,1-1-1-0,0,353
0-1-0-0,0-1-1-0,0,289
2-1-1-0,2-1-1-1,0,93
1-0-0-1,2-1-0-0,0,5
1-0-0-1,2-0-0-1,0,88
1-1-0-0,1-0-1-1,0,55
0-0-0-1,1-0-0-1,0,39
1-0-1-0,1-0-0-1,1,9
1-1-0-1,1-0-0-0,3,8
1-1-0-0,2-1-0-0,0,761
2-1-1-1,3-0,0,152
2-1-1-1,2-1-1-1,1,35
0-0-1-0,0-1-0-0,1,19
2-0-0-1,2-0-0-0,2,14
0-1-1-1,2-0-0-1,1,7
2-1-0-0,2-1-0-0,1,2
0-0-0-1,0-0-1-0,1,2
0-1-1-1,0-1-0-1,2,2
0-0-0-0,1-0-0-0,0,3912
2-1-1-0,2-1-0-1,1,47
1-1-0-1,3-0,0,44
0-1-0-1,1-1-0-0,1,45
1-1-0-0,1-0-0-1,1,15
2-0-1-1,3-2,2,1
0-0-1-1,1-0-1-0,1,8
1-1-0-0,2-0-0-0,1,2
2-1-0-1,2-0-1-1,1,4
0-0-1-1,0-1-1-0,1,1
0-0-1-1,0-0-1-1,1,1
0-0-0-0,0-1-0-0,0,1517
1-0-0-0,1-0-0-0,1,123
1-0-1-1,3-0,0,4
1-1-0-1,1-1-1-0,1,42
0-0-1-0,0-0-0-1,1,5
2-0-0-1,2-0-1-0,1,23
0-0-1-1,0-1-0-0,2,7
0-1-1-0,1-1-0-0,1,1
0-1-0-0,1-0-1-0,0,111
2-0-0-1,2-1-0-1,0,51
0-1-0-0,0-0-0-0,2,59
1-0-1-0,1-1-0-1,0,62
2-1-0-1,2-1-0-1,1,29
2-1-1-1,2-1-0-1,2,17
0-1-1-0,2-0-0-1,0,41
1-1-0-0,1-0-0-0,2,52
1-0-1-1,1-1-0-0,2,12
0-1-0-1,0-1-0-1,1,3
2-0-0-0,2-1-0-0,0,834
1-1-1-0,2-1-1-0,0,220
0-1-1-0,1-0-1-1,0,29
2-1-0-0,2-1-1-0,0,305
2-0-0-0,2-0-0-1,0,26
1-0-1-1,1-0-0-1,2,3
0-0-0-1,0-0-0-1,1,1
0-1-0-1,2-1-0-0,0,1
2-0-0-1,2-1-0-0,1,61
0-1-0-0,0-0-0-1,1,12
2-1-1-1,2-0-1-1,2,5
2-1-0-0,2-0-0-1,1,13
0-1-1-1,0-0-0-0,4,3
0-1-0-1,1-1-1-0,0,1
0-0-1-1,2-0-1-0,0,1
1-1-0-0,2-0-0-1,0,1
0-0-1-1,1-0-0-1,1,19
2-1-0-1,3-1,1,3
0-1-1-1,0-1-1-1,1,6
2-1-0-1,2-0-0-0,3,15
0-1-1-0,2-0-1-0,0,4
2-1-1-1,3-2,2,3
2-1-0-1,2-1-1-0,1,35
2-0-1-0,2-1-1-0,0,155
0-1-0-1,0-0-0-0,3,8
1-0-1-0,1-0-0-0,2,22
0-1-1-0,0-0-1-0,2,8
1-1-1-0,1-0-0-0,3,24
0-1-0-1,0-0-0-1,2,2
1-0-1-1,1-1-1-0,1,1
1-0-0-0,1-1-0-0,0,1016
1-0-1-1,2-0-0-1,1,40
1-1-1-0,3-0,0,72
0-1-1-1,1-0-0-0,3,1
