game_state,next_state,runs_scored,transition_count
1-0-0-0,1-0-1-0,0,5824
1-0-1-0,2-0-0-1,0,3607
1-0-1-1,2-0-1-0,1,540
0-1-1-1,0-0-1-0,3,33
0-1-0-0,1-0-0-1,0,93
1-1-0-1,1-0-0-1,2,39
1-0-1-1,2-0-0-0,2,19
0-1-1-1,2-0-1-0,1,7
0-0-1-1,2-0-0-0,1,5
0-1-0-0,0-1-0-1,0,1525
2-1-0-1,2-0-0-1,2,47
2-1-1-1,2-0-0-1,3,57
1-0-1-0,2-0-0-0,1,75
2-0-1-1,2-0-1-0,2,334
1-0-1-1,1-0-0-0,3,129
0-0-1-1,0-0-0-0,3,77
1-0-0-1,1-0-0-1,1,26
2-1-0-0,2-0-0-0,2,1480
1-1-0-0,1-1-0-1,0,1979
2-1-1-0,3-1,1,107
1-1-0-1,2-1-1-0,0,109
2-1-1-1,2-1-1-0,2,318
1-0-1-0,1-0-1-1,0,69
1-1-1-0,2-0-1-1,0,955
0-0-0-1,0-1-0-1,0,211
0-1-1-1,0-1-1-0,2,116
0-0-1-1,1-0-0-0,2,8
0-0-0-1,1-1-0-0,0,8
0-0-1-1,3-0,0,1
1-1-1-0,2-1-0-1,0,1775
2-0-0-0,2-0-1-0,0,4662
1-1-1-0,1-1-1-1,0,2730
2-0-1-0,2-1-0-0,1,2242
1-1-1-1,2-1-0-1,1,580
1-1-1-0,2-1-0-0,1,55
0-0-1-0,0-1-0-1,0,1090
0-1-0-1,1-1-0-1,0,975
1-1-0-1,3-1,1,31
1-1-1-1,1-0-0-0,4,169
0-0-0-1,1-0-1-0,0,1
2-0-0-1,2-1-0-0,1,1304
2-1-0-0,2-0-0-1,1,289
1-1-0-1,2-0-0-1,1,24
1-1-0-0,2-0-0-1,0,117
2-1-1-1,2-0-1-1,2,190
0-1-0-0,0-0-0-1,1,190
0-1-0-1,1-1-1-0,0,68
0-1-1-1,0-0-0-0,4,85
0-1-1-1,1-0-0-1,2,4
0-1-1-0,1-0-0-1,1,15
0-0-1-1,2-0-1-0,0,8
2-1-0-0,3-0,0,33998
1-1-1-0,1-1-0-1,1,555
1-1-0-1,2-0-1-0,1,458
0-1-0-1,1-0-0-1,1,9
2-0-1-1,2-0-1-1,1,4
2-0-0-0,3-0,0,72970
1-1-1-1,2-1-1-1,0,2104
1-1-0-0,2-0-1-0,0,3099
2-1-0-0,2-1-0-1,0,2339
2-1-0-0,2-0-1-0,1,1028
0-0-1-0,0-0-0-0,2,319
1-0-0-1,2-0-0-0,1,1274
0-1-1-1,0-0-1-1,2,104
0-1-0-0,0-0-1-0,1,515
1-1-1-1,1-0-0-1,3,41
0-0-1-0,2-0-0-0,0,50
2-1-0-0,3-1,1,25
0-0-1-0,0-0-1-1,0,74
2-1-1-0,2-0-0-0,3,601
0-1-0-0,2-0-0-0,0,4467
2-1-0-1,2-1-1-1,0,952
2-0-0-1,3-0,0,6927
0-1-0-1,1-0-1-0,1,180
2-0-1-0,3-1,1,105
0-0-1-1,1-1-0-0,1,15
0-0-0-1,2-0-0-0,0,8
0-1-0-1,0-1-0-0,2,1
1-0-0-0,1-1-0-0,0,30173
1-1-1-0,3-0,0,2009
1-0-1-1,2-0-0-1,1,838
0-1-1-1,1-0-0-0,3,3
1-1-1-1,1-1-0-0,3,1
0-0-1-0,1-0-0-1,0,2655
2-1-1-0,3-0,0,14924
0-1-1-1,1-1-1-0,1,177
1-1-0-1,2-1-0-0,1,1258
2-0-1-1,2-1-0-1,1,202
1-0-1-1,1-0-1-0,2,334
2-1-1-1,2-0-0-0,4,273
1-1-1-1,1-0-1-1,2,268
1-0-0-1,2-0-1-0,0,38
0-0-1-0,1-0-0-0,1,30
2-0-0-0,2-0-0-0,1,3167
1-1-1-1,1-1-1-0,2,221
0-0-0-1,0-1-0-0,1,273
0-1-0-1,0-0-1-1,1,127
2-1-1-0,2-0-0-1,2,146
0-1-1-1,1-0-1-0,2,4
0-1-0-1,2-0-1-0,0,14
0-1-1-0,1-0-0-0,2,6
1-0-0-0,2-0-0-0,0,91033
1-0-0-1,2-0-0-1,0,2415
2-1-1-0,2-1-1-1,0,2891
1-1-0-0,1-1-1-0,0,9706
0-1-0-0,1-1-0-0,0,19089
1-1-0-0,1-0-1-1,0,1586
0-1-0-0,0-1-1-0,0,8054
0-0-0-1,1-0-0-1,0,734
0-1-0-1,2-0-0-1,0,31
1-1-0-1,1-0-0-0,3,201
1-0-1-0,1-0-0-1,1,96
1-0-0-1,2-1-0-0,0,174
0-1-1-1,2-1-0-1,0,17
0-0-1-1,2-0-0-1,0,7
2-0-1-0,2-1-1-0,0,3859
0-1-1-0,0-0-1-0,2,119
1-1-1-0,1-0-0-0,3,546
0-1-0-1,0-0-0-0,3,114
1-0-1-0,1-0-0-0,2,584
2-1-0-1,2-1-1-0,1,902
1-0-1-1,1-1-1-0,1,37
0-1-0-1,0-0-0-1,2,20
0-1-0-1,3-0,0,3
0-1-1-0,0-1-0-0,2,1
2-1-0-0,2-1-1-0,0,8826
1-1-1-0,2-1-1-0,0,7154
2-0-0-0,2-1-0-0,0,24498
0-1-1-0,1-0-1-1,0,941
0-1-1-0,0-0-0-1,2,47
1-0-1-1,1-0-0-1,2,29
0-1-1-0,1-0-1-0,1,21
2-0-0-0,2-0-0-1,0,372
2-1-1-1,2-1-0-0,3,5
0-1-0-1,2-1-0-0,0,11
0-0-0-1,0-0-0-1,1,11
2-0-1-0,3-0,0,17642
2-1-1-0,2-1-1-0,1,866
1-1-1-0,1-1-1-0,1,719
0-1-1-1,1-1-1-1,0,1051
1-1-1-1,3-0,0,682
1-1-0-1,1-1-1-1,0,649
2-0-1-0,2-1-0-1,0,771
1-1-1-1,3-1,1,28
1-0-1-1,2-1-1-0,0,67
0-1-1-1,2-1-1-0,0,9
0-0-1-1,1-1-1-0,0,13
0-1-0-0,0-0-1-1,0,1451
0-0-0-1,0-0-0-0,2,51
1-1-0-1,2-0-0-0,2,5
1-1-1-0,3-1,1,1
1-1-1-0,1-1-0-0,2,1
1-1-0-1,2-1-0-1,0,1923
0-0-0-0,0-0-0-0,1,5834
0-1-1-1,1-1-0-1,1,285
1-1-1-1,1-1-0-1,2,170
0-1-1-0,1-1-1-0,0,3876
0-0-0-1,1-0-0-0,1,326
1-0-1-1,1-1-0-1,1,490
1-1-1-0,2-0-0-1,1,26
2-1-1-1,3-1,1,38
1-0-1-0,2-0-1-0,0,9589
2-0-1-1,2-1-0-0,2,629
0-1-1-0,2-1-0-0,0,88
2-1-0-0,2-0-1-1,0,1043
